DISC;PAL;LINE;CAMPIONATO;NAZ;CULT;EVENTO;DATA ORA;STATO;FN1;FNX;FN2
1;350;14819;GER5;0;0;1. FC KLEVE - SONSBECK;21/09/2022 19.30;A;1,83;4,10;2,95
1;350;14815;GER5;0;0;1. FC MONHEIM - CRONENBERGER;21/09/2022 19.30;A;1,23;5,40;7,60
1;350;14844;GER5;0;0;HOMBERG - SPORTFREUNDE BAUMBERG;21/09/2022 19.30;A;2,55;3,50;2,20
1;350;14825;GER5;0;0;SPORTFREUNDE HAMBOR... - RATINGEN SV GERMANI...;21/09/2022 19.30;A;4,50;4,30;1,48
1;350;14845;GER5;0;0;TSV MEERBUSCH - SC UNION NETTETAL;21/09/2022 19.30;A;1,62;4,20;3,70
1;350;14801;GER5;0;0;TURU DUSSELDORF - SPVG SCHONNEBECK 1910;21/09/2022 19.30;A;2,10;3,55;2,65
1;350;14822;GER5;0;0;TVD VELBERT 1870 - SC ST TONIS 11/20;21/09/2022 19.30;A;1,42;4,30;5,40
1;350;14793;GER5;0;0;VFB 03 HILDEN - FSV DUISBURG;21/09/2022 19.30;A;1,16;6,00;9,80
1;350;226;EURQU19;0;0;IRLANDA DEL NORD - SLOVENIA U19;21/09/2022 19.30;A;2,85;3,30;2,15
1;350;34733;CFEKUW;0;0;KAZMA SC - KHAITAN SC;21/09/2022 19.35;A;1,28;4,90;7,20
1;350;11891;CBEL;0;0;K BOCHOLTER VV - KMSK DEINZE;21/09/2022 20.00;A;6,00;5,00;1,33
1;350;26742;SPA4;0;0;ZAMORA - REAL VALLADOLID PROMESAS;21/09/2022 20.00;A;1,63;3,40;4,50
1;350;14799;BRAPA1F;0;0;PINDA SPORT CLUBE SP - FERROVIARIA SP;21/09/2022 20.00;A;21,00;8,80;1,03
1;350;14797;BRAMIU20;0;0;SANTARRITENSE FC MG... - NACIONAL AC MURIAE ...;21/09/2022 20.00;A;2,20;3,45;2,55
1;350;51760;AMIU20;0;0;INGHILTERRA - CILE;21/09/2022 20.00;A;1,27;4,90;7,80
1;350;36507;FAENG;0;0;PAULTON ROVERS - GOSPORT BOROUGH;21/09/2022 20.30;A;3,05;3,40;1,97
1;350;14779;EURCHLF;0;0;PARIS SAINT GERMAIN... - KOPPARBERGS/GOTHENB...;21/09/2022 20.30;A;1,04;8,60;26,00
1;350;34179;CNCURU;0;0;ALBION FC - LA LUZ FC;21/09/2022 20.30;A;2,00;3,10;3,40
1;350;34180;CNCURU;0;0;ATLETICO RENTISTAS - CA PROGRESO;21/09/2022 20.30;A;1,93;3,15;3,50
1;350;36533;FAENG;0;0;BURY AFC - LANCASTER;21/09/2022 20.45;A;3,30;3,85;1,77
1;350;14835;ENG7;0;0;CRAY WANDERERS - HASTINGS UNITED;21/09/2022 20.45;A;1,70;3,70;3,70
1;350;14827;ENG7;0;0;KINGSTONIAN - BOGNOR REGIS;21/09/2022 20.45;A;2,30;3,30;2,60
1;350;4934;NATLEA;0;0;SCOZIA - UCRAINA;21/09/2022 20.45;A;2,60;3,05;2,80
1;350;14838;COL1;0;0;CORTULUA - DEPORTIVO CALI;21/09/2022 21.00;A;2,60;3,10;2,65
1;350;14848;ARG3;0;0;SPORTIVO PENAROL SAN JUAN - SOL DE MAYO;21/09/2022 21.00;A;2,65;2,65;2,65
1;350;14798;PAR1;0;0;RESISTENCIA - CLUB NACIONAL;21/09/2022 21.00;A;3,85;3,30;1,83
1;350;14697;CSTR2;0;0;ASERRI FC - AD CARIARI POCOCI;21/09/2022 22.00;A;1,82;3,80;3,30
